Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,33,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"this[""BGColor""] = value;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,30,16,P:System.Configuration.ApplicationSettingsBase.Item(System.String),,,,,"return ((global::System.Drawing.Color)(this[""BGColor""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,288,6,T:System.Drawing.Bitmap,,,,,"public static void Convert(ref byte[] imageData, ref byte[] paletteData, N64Codec codec, Bitmap bm)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,496,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,493,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,491,18,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = (sum > 0) ? (byte)1 : (byte)0;                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 8];                       int bit = idx % 8;                       int mask = ~(1 << bit);                       imageData[idx / 8] = (byte)((old & mask) | (intensity << bit));                    }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,489,15,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < bm.Height; y++)                 {                    for (int x = 0; x < bm.Width; x++)                    {                       Color col = bm.GetPixel(x, y);                       int sum = col.R + col.G + col.B;                       byte intensity = (sum > 0) ? (byte)1 : (byte)0;                       int idx = y * bm.Width + x;                       byte old = imageData[idx / 8];                       int bit = idx % 8;                       int mask = ~(1 << bit);                       imageData[idx / 8] = (byte)((old & mask) | (intensity << bit));                    }                 }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,467,21,P:System.Drawing.Image.Width,,,,,int idx = y * bm.Width + x;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Texture64\Texture64.csproj,File,Texture64\N64Graphics.cs,460,21,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"Color col = bm.GetPixel(x, y);"
